	"species"	"abbreviation"
0	"Aedes albopictus densovirus"	"aalbopictus"
1	"Adeno-associated virus 2"	"avirus"
2	"Adeno-associated virus 2"	"avirus"
3	"Abacion magnum"	"amagnum"
4	"Abaeis nicippe"	"anicippe"
5	"Abax parallelepipedus"	"aparallelepipedus"
6	"Abalistes stellaris"	"astellaris"
7	"Abbottina rivularis"	"arivularis"
8	"Abdopus aculeatus"	"aaculeatus"
9	"Antarctic bacterium DS2-3R"	"abacterium"
10	"Abelia chinensis"	"achinensis"
11	"Abelmoschus ficulneus"	"aficulneus"
12	"Abelia grandiflora"	"agrandiflora"
13	"Abelmoschus manihot"	"amanihot"
14	"Abalone herpesvirus"	"aherpesvirus"
15	"Abies alba"	"aalba"
16	"Abies balsamea"	"abalsamea"
17	"Abies beshanzuensis"	"abeshanzuensis"
18	"Abies bracteata"	"abracteata"
19	"Abies concolor"	"aconcolor"
20	"Abiotrophia defectiva"	"adefectiva"
21	"Abies firma"	"afirma"
22	"Abies fraseri"	"afraseri"
23	"Abisara fylloides"	"afylloides"
24	"Abies grandis"	"agrandis"
25	"Abies holophylla"	"aholophylla"
26	"Abies homolepis"	"ahomolepis"
27	"Abies koreana"	"akoreana"
28	"Abies lasiocarpa"	"alasiocarpa"
29	"Abies magnifica"	"amagnifica"
30	"Abies mariesii"	"amariesii"
31	"Abies nebrodensis"	"anebrodensis"
32	"Abies nordmanniana"	"anordmanniana"
33	"Abies sachalinensis"	"asachalinensis"
34	"Abies veitchii"	"aveitchii"
35	"Ablepharus budaki"	"abudaki"
36	"Ablennes hians"	"ahians"
37	"Ablepharus kitaibelii"	"akitaibelii"
38	"Australian bat lyssavirus"	"abat"
39	"Australian bat lyssavirus"	"abat"
40	"Abutilon mosaic virus"	"amosaic"
41	"Acute bee paralysis virus"	"abee"
42	"Abrothrix andinus"	"aandinus"
43	"Abrocoma bennettii"	"abennettii"
44	"Abramis brama"	"abrama"
45	"Abronia graminea"	"agraminea"
46	"Abrothrix jelskii"	"ajelskii"
47	"Abrothrix longipilis"	"alongipilis"
48	"Abrothrix olivaceus"	"aolivaceus"
49	"Abrophyllum ornans"	"aornans"
50	"Abrus precatorius"	"aprecatorius"
51	"Abraxas sylvata"	"asylvata"
52	"Absidia glauca"	"aglauca"
53	"Absidia spinosa"	"aspinosa"
54	"Abudefduf saxatilis"	"asaxatilis"
55	"Abudefduf sexfasciatus"	"asexfasciatus"
56	"Abutilon theophrasti"	"atheophrasti"
57	"Abudefduf vaigiensis"	"avaigiensis"
58	"Acidianus bottle-shaped virus"	"abottle-shaped"
59	"Acidianus bottle-shaped virus"	"abottle-shaped"
60	"Abyssocottus korotneffi"	"akorotneffi"
61	"Acanthophis antarcticus"	"aantarcticus"
62	"Acanthoscelides argillaceus"	"aargillaceus"
63	"Acanthospermum australe"	"aaustrale"
64	"Acanthurus bahianus"	"abahianus"
65	"Acanthopagrus berda"	"aberda"
66	"Acanthidops bairdii"	"abairdii"
67	"Acanthocobitis botia"	"abotia"
68	"Acanthaster brevispinus"	"abrevispinus"
69	"Acanthopagrus butcheri"	"abutcheri"
70	"Acanthaluteres brownii"	"abrownii"
71	"Acanthamoeba castellanii"	"acastellanii"
72	"Acanthurus coeruleus"	"acoeruleus"
73	"Acanthurus chirurgus"	"achirurgus"
74	"Acantopsis choirorhynchos"	"achoirorhynchos"
75	"Acanthorhodeus chankaensis"	"achankaensis"
76	"Acalypha californica"	"acalifornica"
77	"Acanthochitona crinita"	"acrinita"
78	"Acacia confusa"	"aconfusa"
79	"Acanthosaura capra"	"acapra"
80	"Acanthosoma crassicaudum"	"acrassicaudum"
81	"Acartia clausii"	"aclausii"
82	"Acanthophlebia cruentata"	"acruentata"
83	"Acantholipes circumdata"	"acircumdata"
84	"Acar domingensis"	"adomingensis"
85	"Acanthus ebracteatus"	"aebracteatus"
86	"Acanthodactylus erythrurus"	"aerythrurus"
87	"Acanella eburnea"	"aeburnea"
88	"Acanthis flammea"	"aflammea"
89	"Acanthoscurria gomesiana"	"agomesiana"
90	"Acar gradata"	"agradata"
91	"Acanthurus guttatus"	"aguttatus"
92	"Acanthis hornemanni"	"ahornemanni"
93	"Acanthiza katherina"	"akatherina"
94	"Acanthopagrus latus"	"alatus"
95	"Acanthurus leucosternon"	"aleucosternon"
96	"Acanthurus lineatus"	"alineatus"
97	"Acalolepta luxuriosa"	"aluxuriosa"
98	"Acaryochloris marina"	"amarina"
99	"Acanthophippium mantinianum"	"amantinianum"
100	"Acanthemblemaria maria"	"amaria"
101	"Acacia mangium"	"amangium"
102	"Acaryochloris marina"	"amarina"
103	"Acacia myrtifolia"	"amyrtifolia"
104	"Acanthoscurria natalensis"	"anatalensis"
105	"Acanthurus nigricans"	"anigricans"
106	"Acanthurus nigrofuscus"	"anigrofuscus"
107	"Acanthurus nigroris"	"anigroris"
108	"Acanthoscelides obtectus"	"aobtectus"
109	"Acanthoscelides obvelatus"	"aobvelatus"
