	gene_symbol	definition
3	afaB	Chaperone protein AfaB
4	aggD	Chaperone protein AggD
8	arc	Proteasome-associated ATPase (AAA ATPase forming ring-shaped complexes) (ARC) (Proteasomal ATPase)
9	arfA	Alternative ribosome-rescue factor A
14	asp1	Accessory Sec system protein Asp1 (Accessory secretory protein Asp1)
15	asp2	Accessory Sec system protein Asp2 (Accessory secretory protein Asp2) (Orf2)
16	asp3	Accessory Sec system protein Asp3 (Accessory secretory protein Asp3) (Orf3)
17	asp4	Accessory secretory protein Asp4 (Orf5)
18	asp5	Accessory secretory protein Asp5 (Orf6)
35	bpa	Bacterial proteasome activator
36	caf1M	Chaperone protein caf1M (Capsule protein fraction 1)
40	cbpM	Chaperone modulatory protein CbpM
43	ccmE	Cytochrome c-type biogenesis protein CcmE (Cytochrome c maturation protein E) (Heme chaperone CcmE)
44	cct1	Thermosome subunit 1 (Heat shock protein CCT1)
45	cct2	Thermosome subunit 2 (Heat shock protein CCT2)
46	cct3	Thermosome subunit 3 (Heat shock protein CCT3)
48	clpA	ATP-dependent Clp protease ATP-binding subunit ClpA
49	clpB	Chaperone protein ClpB
50	clpB1	Chaperone protein ClpB 1
51	clpB2	Chaperone protein ClpB 2
52	clpC	ATP-dependent Clp protease ATP-binding subunit ClpC
53	clpC1	ATP-dependent Clp protease ATP-binding subunit ClpC1
54	clpE	ATP-dependent Clp protease ATP-binding subunit ClpE (Exported protein 4)
55	clpL	ATP-dependent Clp protease ATP-binding subunit ClpL
56	clpP	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)
57	clpP1	ATP-dependent Clp protease proteolytic subunit 1 (EC 3.4.21.92) (Endopeptidase Clp 1)
58	clpP2	ATP-dependent Clp protease proteolytic subunit 2 (EC 3.4.21.92) (Endopeptidase Clp 2)
59	clpQ	ATP-dependent protease subunit ClpQ (EC 3.4.21.-)
60	clpS	ATP-dependent Clp protease adapter protein ClpS
61	clpS1	ATP-dependent Clp protease adapter protein ClpS 1
62	clpS2	ATP-dependent Clp protease adapter protein ClpS 2
63	clpV1	Protein ClpV1
64	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX
65	clpX1	ATP-dependent Clp protease ATP-binding subunit ClpX 1
66	clpX2	ATP-dependent Clp protease ATP-binding subunit ClpX 2
67	clpX3	ATP-dependent Clp protease ATP-binding subunit ClpX 3
