	species_name	species_abbreviation	abbreviation	taxonomy	ensembl_class	rRNA
0	Ailuropoda melanoleuca	amelanoleuca	ensembl_0	eukaryotes	ensembl	GL196163
1	Vombatus ursinus	vursinus	ensembl_1	eukaryotes	ensembl	AJ311678
2	Gorilla gorilla	ggorilla	ensembl_2	eukaryotes	ensembl	KX061876
3	Pan troglodytes	ptroglodytes	ensembl_3	eukaryotes	ensembl	KX061886
4	Ciona intestinalis	cintestinalis	ensembl_4	eukaryotes	ensembl	AB013017
5	Erpetoichthys calabaricus	ecalabaricus	ensembl_6	eukaryotes	ensembl	AF198115
6	Homo sapiens	hsapiens	ensembl_7	eukaryotes	ensembl	M10098
7	Oryzias latipes	olatipes	ensembl_8	eukaryotes	ensembl	AB105163
8	Oryctolagus cuniculus	ocuniculus	ensembl_9	eukaryotes	ensembl	X06778
9	Anolis carolinensis	acarolinensis	ensembl_10	eukaryotes	ensembl	AY859624
10	Sus scrofa	sscrofa	ensembl_11	eukaryotes	ensembl	NW_018085108
11	Microtus ochrogaster	mochrogaster	ensembl_12	eukaryotes	ensembl	KP780173
12	Xiphophorus maculatus	xmaculatus	ensembl_13	eukaryotes	ensembl	KJ774770
13	Latimeria chalumnae	lchalumnae	ensembl_14	eukaryotes	ensembl	L11288
14	Lates calcarifer	lcalcarifer	ensembl_15	eukaryotes	ensembl	KJ774690
15	Sphenodon punctatus	spunctatus	ensembl_16	eukaryotes	ensembl	AF115860
16	Pelodiscus sinensis	psinensis	ensembl_17	eukaryotes	ensembl	MK685677
17	Fundulus heteroclitus	fheteroclitus	ensembl_18	eukaryotes	ensembl	M91180
18	Gallus gallus	ggallus	ensembl_19	eukaryotes	ensembl	MG967540
19	Equus caballus	ecaballus	ensembl_20	eukaryotes	ensembl	AJ311673
20	Callithrix jacchus	cjacchus	ensembl_21	eukaryotes	ensembl	KX061891
21	Meleagris gallopavo	mgallopavo	ensembl_22	eukaryotes	ensembl	AJ419877
22	Gadus morhua	gmorhua	ensembl_23	eukaryotes	ensembl	JN132136
23	Nomascus leucogenys	nleucogenys	ensembl_24	eukaryotes	ensembl	KX061879
24	Crocodylus porosus	cporosus	ensembl_25	eukaryotes	ensembl	EU727191
25	Rattus norvegicus	rnorvegicus	ensembl_26	eukaryotes	ensembl	M11188
26	Scophthalmus maximus	smaximus	ensembl_27	eukaryotes	ensembl	EF126038
27	Clupea harengus	charengus	ensembl_28	eukaryotes	ensembl	X98845
28	Poecilia reticulata	preticulata	ensembl_29	eukaryotes	ensembl	KJ774732
29	Felis catus	fcatus	ensembl_30	eukaryotes	ensembl	NC_018736
30	Labrus bergylta	lbergylta	ensembl_31	eukaryotes	ensembl	KU320065
31	Macaca mulatta	mmulatta	ensembl_32	eukaryotes	ensembl	KX061881
32	Dasypus novemcinctus	dnovemcinctus	ensembl_33	eukaryotes	ensembl	AJ311674
33	Erinaceus europaeus	eeuropaeus	ensembl_34	eukaryotes	ensembl	AJ311675
34	Bos taurus	btaurus	ensembl_35	eukaryotes	ensembl	DQ222453
35	Callorhinchus milii	cmilii	ensembl_36	eukaryotes	ensembl	AY049813
36	Danio rerio	drerio	ensembl_37	eukaryotes	ensembl	NR_145818
37	Anas platyrhynchos	applatyrhynchos	ensembl_38	eukaryotes	ensembl	AF173614
38	Pongo abelii	pabelii	ensembl_39	eukaryotes	ensembl	KX061877
39	Ornithorhynchus anatinus	oanatinus	ensembl_40	eukaryotes	ensembl	AJ311679
40	Xenopus tropicalis	xtropicalis	ensembl_41	eukaryotes	ensembl	X02995
41	Cyprinodon variegatus	cvariegatus	ensembl_42	eukaryotes	ensembl	EF431912
42	Brassica oleracea	boleracea	plants_0	eukaryotes	plants	JF920286
43	Oryza glumipatula	oglumipatula	plants_1	eukaryotes	plants	KM036292
44	Oryza barthii	obarthii	plants_2	eukaryotes	plants	KM117253
45	Glycine max	gmax	plants_3	eukaryotes	plants	X02623
46	Zea mays	zmays	plants_4	eukaryotes	plants	M10248
47	Chlamydomonas reinhardtii	creinhardtii	plants_5	eukaryotes	plants	JX888472
48	Medicago truncatula	mtruncatula	plants_6	eukaryotes	plants	AF093506
49	Solanum tuberosum	stuberosum	plants_7	eukaryotes	plants	X67238
50	Oryza sativa Japonica Group	osativa	plants_8	eukaryotes	plants	BA000029
51	Solanum lycopersicum	slycopersicum	plants_10	eukaryotes	plants	MF034192
52	Capsicum annuum	cannuum	plants_11	eukaryotes	plants	KJ865410
53	Cucumis sativus	csativus	plants_12	eukaryotes	plants	KX231332
54	Brassica napus	bnapus	plants_13	eukaryotes	plants	FR715249
55	Oryza glaberrima	oglaberrima	plants_15	eukaryotes	plants	KM036289
56	Helianthus annuus	hannuus	plants_16	eukaryotes	plants	MG770607
57	Oryza punctata	opunctata	plants_17	eukaryotes	plants	KM036294
58	Vitis vinifera	vvinifera	plants_19	eukaryotes	plants	FM179380
59	Amborella trichopoda	atrichopoda	plants_20	eukaryotes	plants	KI392628
60	Arabidopsis thaliana	athaliana	plants_21	eukaryotes	plants	CP002685
61	Schizosaccharomyces octosporus	soctosporus	fungi_0	eukaryotes	fungi	KE503208
62	Cryptococcus neoformans	cneoformans	fungi_1	eukaryotes	fungi	AJ560315
63	Schizosaccharomyces japonicus	sjaponicus	fungi_2	eukaryotes	fungi	AB243296
64	Magnaporthe oryzae	moryzae	fungi_3	eukaryotes	fungi	JQ747492
65	Fusarium fujikuroi	ffujikuroi	fungi_4	eukaryotes	fungi	AB237662
66	Colletotrichum gloeosporioides	cgloeosporioides	fungi_5	eukaryotes	fungi	FJ227900
67	Komagataella pastoris	kpastoris	fungi_6	eukaryotes	fungi	CP014589
68	Leptosphaeria maculans	lmaculans	fungi_7	eukaryotes	fungi	U04233
69	Saccharomyces cerevisiae	scerevisiae	fungi_8	eukaryotes	fungi	Z75578
70	Neurospora crassa	ncrassa	fungi_9	eukaryotes	fungi	AY046271
71	Schizosaccharomyces pombe	spombe	fungi_10	eukaryotes	fungi	AY046272
72	Aspergillus nidulans	anidulans	fungi_11	eukaryotes	fungi	AB008403
73	Sporisorium reilianum	sreilianum	fungi_13	eukaryotes	fungi	KF706441
74	Puccinia graminis	pgraminis	fungi_14	eukaryotes	fungi	AY125409
75	Beauveria bassiana	bbassiana	fungi_15	eukaryotes	fungi	MH521027
76	Fusarium oxysporum	foxysporum	fungi_16	eukaryotes	fungi	AB110910
