	species_name	species_abbreviation	taxonomy	phylum	class
0	Ailuropoda melanoleuca	amelanoleuca	eukaryotes	Chordata	Mammalia
1	Vombatus ursinus	vursinus	eukaryotes	Chordata	Mammalia
2	Gorilla gorilla	ggorilla	eukaryotes	Chordata	Mammalia
3	Pan troglodytes	ptroglodytes	eukaryotes	Chordata	Mammalia
4	Ciona intestinalis	cintestinalis	eukaryotes	Chordata	Ascidiacea
5	Erpetoichthys calabaricus	ecalabaricus	eukaryotes	Chordata	Cladistia
6	Homo sapiens	hsapiens	eukaryotes	Chordata	Mammalia
7	Oryzias latipes	olatipes	eukaryotes	Chordata	Actinopteri
8	Oryctolagus cuniculus	ocuniculus	eukaryotes	Chordata	Mammalia
9	Anolis carolinensis	acarolinensis	eukaryotes	Chordata	Reptilia
10	Sus scrofa	sscrofa	eukaryotes	Chordata	Mammalia
11	Microtus ochrogaster	mochrogaster	eukaryotes	Chordata	Mammalia
12	Xiphophorus maculatus	xmaculatus	eukaryotes	Chordata	Actinopteri
13	Latimeria chalumnae	lchalumnae	eukaryotes	Chordata	Actinistia
14	Lates calcarifer	lcalcarifer	eukaryotes	Chordata	Actinopteri
15	Sphenodon punctatus	spunctatus	eukaryotes	Chordata	Reptilia
16	Pelodiscus sinensis	psinensis	eukaryotes	Chordata	Reptilia
17	Fundulus heteroclitus	fheteroclitus	eukaryotes	Chordata	Actinopteri
18	Gallus gallus	ggallus	eukaryotes	Chordata	Aves
19	Equus caballus	ecaballus	eukaryotes	Chordata	Mammalia
20	Callithrix jacchus	cjacchus	eukaryotes	Chordata	Mammalia
21	Meleagris gallopavo	mgallopavo	eukaryotes	Chordata	Aves
22	Gadus morhua	gmorhua	eukaryotes	Chordata	Actinopteri
23	Nomascus leucogenys	nleucogenys	eukaryotes	Chordata	Mammalia
24	Crocodylus porosus	cporosus	eukaryotes	Chordata	Reptilia
25	Rattus norvegicus	rnorvegicus	eukaryotes	Chordata	Mammalia
26	Scophthalmus maximus	smaximus	eukaryotes	Chordata	Actinopteri
27	Clupea harengus	charengus	eukaryotes	Chordata	Actinopteri
28	Poecilia reticulata	preticulata	eukaryotes	Chordata	Actinopteri
29	Felis catus	fcatus	eukaryotes	Chordata	Mammalia
30	Labrus bergylta	lbergylta	eukaryotes	Chordata	Actinopteri
31	Macaca mulatta	mmulatta	eukaryotes	Chordata	Mammalia
32	Dasypus novemcinctus	dnovemcinctus	eukaryotes	Chordata	Mammalia
33	Erinaceus europaeus	eeuropaeus	eukaryotes	Chordata	Mammalia
34	Bos taurus	btaurus	eukaryotes	Chordata	Mammalia
35	Callorhinchus milii	cmilii	eukaryotes	Chordata	Chondrichthyes
36	Danio rerio	drerio	eukaryotes	Chordata	Actinopteri
37	Anas platyrhynchos	applatyrhynchos	eukaryotes	Chordata	Aves
38	Pongo abelii	pabelii	eukaryotes	Chordata	Mammalia
