initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
MSD1	MSD1	AT3G10920	manganese superoxide dismutase 1 [Source:NCBI gene (formerly Entrezgene);Acc:820263]
RIN1	RIN1	AT5G22330	P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:832293]
RPN8A	RPN8A	AT5G05780	RP non-ATPase subunit 8A [Source:NCBI gene (formerly Entrezgene);Acc:830463]
ATG6	ATG6	AT3G61710	AUTOPHAGY 6 [Source:NCBI gene (formerly Entrezgene);Acc:825344]
HDA9	HDA9	AT3G44680	histone deacetylase 9 [Source:NCBI gene (formerly Entrezgene);Acc:823594]
SHD	SHD	AT4G24190	Chaperone protein htpG family protein [Source:NCBI gene (formerly Entrezgene);Acc:828520]
AT3G09440	AT3G09440	AT3G09440	Heat shock protein 70 (Hsp 70) family protein [Source:NCBI gene (formerly Entrezgene);Acc:820102]
ATS9	ATS9	AT1G29150	non-ATPase subunit 9 [Source:NCBI gene (formerly Entrezgene);Acc:839789]
ATERDJ3B	ATERDJ3B	AT3G62600	DNAJ heat shock family protein [Source:NCBI gene (formerly Entrezgene);Acc:825434]
ROF1	ROF1	AT3G25230	rotamase FKBP 1 [Source:NCBI gene (formerly Entrezgene);Acc:822117]
RPT3	RPT3	AT5G58290	regulatory particle triple-A ATPase 3 [Source:NCBI gene (formerly Entrezgene);Acc:835941]
PAA1	PAA1	AT4G33520 AT5G35590	P-type ATP-ase 1 [Source:NCBI gene (formerly Entrezgene);Acc:829490]
ATDAD1	ATDAD1	AT1G32210	Defender against death (DAD family) protein [Source:NCBI gene (formerly Entrezgene);Acc:840113]
PAF2	PAF2	AT1G47250	20S proteasome alpha subunit F2 [Source:NCBI gene (formerly Entrezgene);Acc:841128]
Hsp70b	Hsp70b	AT1G16030	heat shock protein 70B [Source:NCBI gene (formerly Entrezgene);Acc:838174]
AT3G16090	Hrd1A	AT3G16090	RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:820854]
AT5G26360	AT5G26360	AT5G26360	TCP-1/cpn60 chaperonin family protein [Source:NCBI gene (formerly Entrezgene);Acc:832705]
PBA1	PBA1	AT4G31300	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:829257]
AT1G27520	AT1G27520	AT1G27520	Glycosyl hydrolase family 47 protein [Source:NCBI gene (formerly Entrezgene);Acc:839643]
UFD1	UFD1	AT2G21270	ubiquitin fusion degradation 1 [Source:NCBI gene (formerly Entrezgene);Acc:816666]
UBC29	UBC29	AT2G16740	ubiquitin-conjugating enzyme 29 [Source:NCBI gene (formerly Entrezgene);Acc:816175]
HAP6	HAP6	AT4G21150	ribophorin II (RPN2) family protein [Source:NCBI gene (formerly Entrezgene);Acc:827863]
AT3G18940	AT3G18940	AT3G18940	clast3-like protein [Source:NCBI gene (formerly Entrezgene);Acc:821426]
ATG10	ATG10	AT3G07525	autophagocytosis-associated family protein [Source:NCBI gene (formerly Entrezgene);Acc:819941]
APG7	APG7	AT5G45900	ThiF family protein [Source:NCBI gene (formerly Entrezgene);Acc:834630]
PBD1	PBD1	AT3G22630	20S proteasome beta subunit D1 [Source:NCBI gene (formerly Entrezgene);Acc:821834]
AT2G35795	AT2G35795	AT2G35795	Chaperone DnaJ-domain superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818152]
HSP91	HSP91	AT1G79930	heat shock protein 91 [Source:NCBI gene (formerly Entrezgene);Acc:844333]
RPT5B	RPT5B	AT1G09100	26S proteasome AAA-ATPase subunit RPT5B [Source:NCBI gene (formerly Entrezgene);Acc:837431]
AT5G06410	AT5G06410	AT5G06410	DNAJ heat shock N-terminal domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830529]
UCP2	UCP2	AT5G58970	uncoupling protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:836014]
AT4G16660	AT4G16660	AT4G16660	heat shock protein 70 (Hsp 70) family protein [Source:NCBI gene (formerly Entrezgene);Acc:827367]
RPN5B	RPN5B	AT5G64760	regulatory particle non-ATPase subunit 5B [Source:NCBI gene (formerly Entrezgene);Acc:836597]
AT4G24820	AT4G24820	AT4G24820	26S proteasome regulatory subunit Rpn7 [Source:NCBI gene (formerly Entrezgene);Acc:828585]
AT3G18190	AT3G18190	AT3G18190	TCP-1/cpn60 chaperonin family protein [Source:NCBI gene (formerly Entrezgene);Acc:821346]
RPN13	RPN13	AT2G26590	regulatory particle non-ATPase 13 [Source:NCBI gene (formerly Entrezgene);Acc:817200]
P58IPK	P58IPK	AT5G03160	DnaJ P58IPK-like protein [Source:NCBI gene (formerly Entrezgene);Acc:831917]
AT1G76400	AT1G76400	AT1G76400	Ribophorin I [Source:NCBI gene (formerly Entrezgene);Acc:843972]
