initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
pas-7	pas-7	WBGene00003928	Proteasome subunit alpha type-3  [Source:UniProtKB/Swiss-Prot;Acc:Q09583]
atg-4.2	atg-4.2	WBGene00014080	Cysteine protease atg-4.2  [Source:UniProtKB/Swiss-Prot;Acc:Q9U1N6]
cct-1	cct-1	WBGene00000377	T-complex protein 1 subunit alpha  [Source:UniProtKB/Swiss-Prot;Acc:P41988]
hda-2	hda-2	WBGene00001835	Putative histone deacetylase 2  [Source:UniProtKB/Swiss-Prot;Acc:Q09440]
F11F1.1	F11F1.1	WBGene00008714	DUF148 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:G5EC99]
hsp-16.11	hsp-16.11	WBGene00002017	Heat shock protein Hsp-16.1/Hsp-16.11  [Source:UniProtKB/Swiss-Prot;Acc:P34696]
unc-23	unc-23	WBGene00006760	BAG domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q86S24]
cnx-1	cnx-1	WBGene00000567	Calnexin  [Source:UniProtKB/Swiss-Prot;Acc:P34652]
fkb-1	fkb-1	WBGene00001426	Peptidylprolyl isomerase  [Source:UniProtKB/TrEMBL;Acc:Q20107]
pbs-6	pbs-6	WBGene00003952	Proteasome subunit beta type-1  [Source:UniProtKB/Swiss-Prot;Acc:P34286]
rpn-2	rpn-2	WBGene00004459	26S proteasome non-ATPase regulatory subunit 1  [Source:UniProtKB/Swiss-Prot;Acc:Q18115]
ruvb-1	ruvb-1	WBGene00007784	RuvB-like 1  [Source:UniProtKB/Swiss-Prot;Acc:O17607]
tag-320	pdi-6	WBGene00015168	Protein disulfide-isomerase A6 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q11067]
pbs-2	pbs-2	WBGene00003948	Proteasome subunit beta  [Source:UniProtKB/TrEMBL;Acc:O62102]
fkb-6	fkb-6	WBGene00001431	Peptidylprolyl isomerase  [Source:UniProtKB/TrEMBL;Acc:O45418]
ero-1	ero-1	WBGene00001334	Endoplasmic reticulum oxidoreductin-1  [Source:UniProtKB/Swiss-Prot;Acc:Q7YTU4]
C33A11.2	C33A11.2	WBGene00007878	Uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:181626]
hsp-60	hsp-60	WBGene00002025	Chaperonin homolog Hsp-60, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P50140]
dnj-27	dnj-27	WBGene00001045	DnaJ homolog subfamily C member 10  [Source:UniProtKB/TrEMBL;Acc:Q25AR9]
atg-3	atg-3	WBGene00021922	Autophagy_act_C domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:U4PRD2]
ire-1	ire-1	WBGene00002147	Serine/threonine-protein kinase/endoribonuclease ire-1 Serine/threonine-protein kinase Endoribonuclease [Source:UniProtKB/Swiss-Prot;Acc:Q09499]
hsp-25	hsp-25	WBGene00002023	SHSP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q5H9M9]
pas-4	pas-4	WBGene00003925	Proteasome subunit alpha type-7  [Source:UniProtKB/Swiss-Prot;Acc:Q95005]
Y55F3BR.6	Y55F3BR.6	WBGene00021943	SHSP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9N350]
lgg-1	lgg-1	WBGene00002980	Protein lgg-1 [Source:NCBI gene (formerly Entrezgene);Acc:174050]
T14G8.3	T14G8.3	WBGene00011771	Uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:181422]
hsp-17	hsp-17	WBGene00002021	SHSP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q7JP52]
pbs-5	pbs-5	WBGene00003951	Proteasome subunit pbs-5  [Source:UniProtKB/Swiss-Prot;Acc:Q9XUV0]
F44E5.5	F44E5.5	WBGene00009692	Uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:174806]
atg-4.1	atg-4.1	WBGene00013595	Cysteine protease atg-4.1  [Source:UniProtKB/Swiss-Prot;Acc:K8ESC5]
atg-11	epg-7	WBGene00020334	ATG11 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q22342]
pbs-4	pbs-4	WBGene00003950	Proteasome subunit beta type-2  [Source:UniProtKB/Swiss-Prot;Acc:P91477]
rpn-6.2	rpn-6.2	WBGene00010309	Probable 26S proteasome regulatory subunit rpn-6.2  [Source:UniProtKB/Swiss-Prot;Acc:P34481]
ostb-1	ostb-1	WBGene00011638	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit  [Source:UniProtKB/Swiss-Prot;Acc:P45971]
dnj-15	dnj-15	WBGene00001033	J domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:U4PF47]
atg-16.1	atg-16.1	WBGene00017178	Autophagic-related protein 16.1  [Source:UniProtKB/Swiss-Prot;Acc:Q19124]
hda-4	hda-4	WBGene00001837	Histone deacetylase 4  [Source:UniProtKB/Swiss-Prot;Acc:O17323]
C35D10.10	C35D10.10	WBGene00016446	Thioredoxin-related transmembrane protein 2 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q18484]
uggt-2	uggt-2	WBGene00009178	UDP-Glucose Glycoprotein glucosylTransferase  [Source:UniProtKB/TrEMBL;Acc:G5EF14]
hsp-12.3	hsp-12.3	WBGene00002012	SHSP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q20164]
dnj-19	dnj-19	WBGene00001037	DNaJ domain (Prokaryotic heat shock protein)  [Source:UniProtKB/TrEMBL;Acc:O16303]
T22C1.8	T22C1.8	WBGene00011918	Tyrosine-protein phosphatase  [Source:UniProtKB/TrEMBL;Acc:Q22668]
