initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
CG6766	CG6766	FBgn0032398	
Hsc70-2	Hsc70-2	FBgn0001217	Heat shock protein cognate 2
CG4461	CG4461	FBgn0035982	
Rpn5	Rpn5	FBgn0028690	Regulatory particle non-ATPase 5
Hsf	Hsf	FBgn0001222	Heat shock factor
CG13671	CG13671	FBgn0035867	
Rpn3	Rpn3	FBgn0261396	Regulatory particle non-ATPase 3
Pros25	Prosalpha2	FBgn0086134	Proteasome alpha2 subunit
porin	porin	FBgn0004363	porin
CG1416	CG1416	FBgn0032961	
Hsp67Bc	Hsp67Bc	FBgn0001229	Heat shock gene 67Bc
prtp	prtp	FBgn0030329	pretaporter
alpha-Man-Ib	alpha-Man-Ib	FBgn0039634	alpha-Mannosidase class I b
ERp60	ERp60	FBgn0033663	Endoplasmic reticulum p60
Prosbeta5R	Prosbeta5R1	FBgn0034842	Proteasome beta5 subunit-related 1
CG1924	CG1924	FBgn0030377	
CG8206	CG8206	FBgn0030679	
Mov34	Rpn8	FBgn0002787	Regulatory particle non-ATPase 8
Dic1	Dic1	FBgn0027610	Dicarboxylate carrier 1
Atg4	Atg4b	FBgn0038325	Autophagy-related 4b
CG12379	CG12379	FBgn0030676	
Drp1	Drp1	FBgn0026479	Dynamin related protein 1
wfs1	wfs1	FBgn0039003	wolfram syndrome 1
CG4025	CG4025	FBgn0025624	
Prosalpha6	Prosalpha6	FBgn0250843	Proteasome alpha6 subunit
Prosbeta4R2	Prosbeta4R2	FBgn0031443	Proteasome beta4 subunit-related 2
Rpn7	Rpn7	FBgn0028688	Regulatory particle non-ATPase 7
Prosbeta7	Prosbeta7	FBgn0250746	Proteasome beta7 subunit
l(2)05070	Prosbeta1	FBgn0010590	Proteasome beta1 subunit
CG9911	CG9911	FBgn0030734	
Cdc37	Cdc37	FBgn0011573	Cdc37
Sod2	Sod2	FBgn0010213	Superoxide dismutase 2 (Mn)
CG5554	CG5554	FBgn0034914	
Pros29	Prosalpha3	FBgn0261394	Proteasome alpha3 subunit
Pros35	Prosalpha6	FBgn0250843	Proteasome alpha6 subunit
Rpn9	Rpn9	FBgn0028691	Regulatory particle non-ATPase 9
CG18282	Ubi-p5E	FBgn0086558	Ubiquitin-5E
Pros28.1A	Prosalpha4T1	FBgn0265606	Proteasome alpha4 subunit, Testis-specific 1
Rpn12R	Rpn12R	FBgn0036465	Regulatory particle non-ATPase 12-related
CG11267	CG11267	FBgn0036334	
CG12096	CG12096	FBgn0030457	
Prosalpha5	Prosalpha5	FBgn0016697	Proteasome alpha5 subunit
Rpn2	Rpn2	FBgn0028692	Regulatory particle non-ATPase 2
l(2)efl	l(2)efl	FBgn0011296	lethal (2) essential for life
Prosbeta5	Prosbeta5	FBgn0029134	Proteasome beta5 subunit
Hsc70-1	Hsc70-1	FBgn0001216	Heat shock protein cognate 1
CG5823	CG5823	FBgn0038515	
park	park	FBgn0041100	parkin
Prosbeta2R1	Prosbeta2R1	FBgn0029812	Proteasome beta2 subunit-related 1
Ugt	Uggt	FBgn0014075	UDP-glucose-glycoprotein glucosyltransferase
Rpt6R	Rpt6R	FBgn0039788	Regulatory particle triple-A ATPase 6-related
OstDelta	OstDelta	FBgn0034277	Oligosaccharide transferase Delta subunit
eIF-2alpha	eIF2alpha	FBgn0261609	eukaryotic translation initiation factor 2 subunit alpha
sip3	sip3	FBgn0039875	septin interacting protein 3
PEK	PEK	FBgn0037327	pancreatic eIF-2alpha kinase
Rpt3	Rpt3	FBgn0028686	Regulatory particle triple-A ATPase 3
Hsp83	Hsp83	FBgn0001233	Heat shock protein 83
FKBP59	Fkbp59	FBgn0029174	FK506-binding protein 59kD
Der-2	Der-2	FBgn0038438	Derlin-2
CG5001	CG5001	FBgn0031322	
lin19	Cul1	FBgn0015509	Cullin 1
Rpn1	Rpn1	FBgn0028695	Regulatory particle non-ATPase 1
Ptp61F	Ptp61F	FBgn0267487	Protein tyrosine phosphatase 61F
PI31	PI31	FBgn0033669	Proteasome inhibitor 31 kDa
Der-1	Der-1	FBgn0267972	Derlin-1
Sod	Sod2	FBgn0010213	Superoxide dismutase 2 (Mn)
Rpn12	Rpn12	FBgn0028693	Regulatory particle non-ATPase 12
Hsp60B	Hsp60B	FBgn0011244	Heat shock protein 60B
Tbp-1	Rpt5	FBgn0028684	Regulatory particle triple-A ATPase 5
l(2)k12914	Dad1	FBgn0263852	Defender against apoptotic cell death 1
Pdi	Pdi	FBgn0286818	Protein disulfide isomerase
DnaJ-H	DnaJ-H	FBgn0032474	DnaJ homolog
CG13133	CG13133	FBgn0032181	
Cnx14D	Cnx14D	FBgn0264077	Calnexin 14D
Ube3a	Ube3a	FBgn0061469	Ubiquitin protein ligase E3A
Atg9	Atg9	FBgn0034110	Autophagy-related 9
CG2852	CG2852	FBgn0034753	
Dic2	Dic2	FBgn0038797	Dicarboxylate carrier 2
Herp	Herp	FBgn0031950	Homocysteine-induced endoplasmic reticulum protein
CaBP1	CaBP1	FBgn0025678	calcium-binding protein 1
CG14207	CG14207	FBgn0031037	
CG11007	CG11007	FBgn0034455	
rept	rept	FBgn0040075	reptin
CG30382	CG30382	FBgn0050382	
P58IPK	P58IPK	FBgn0037718	P58IPK
Pros45	Rpt6	FBgn0020369	Regulatory particle triple-A ATPase 6
TER94	TER94	FBgn0286784	
Pros28.1	Prosalpha4	FBgn0004066	Proteasome alpha4 subunit
CG2574	CG2574	FBgn0030386	
Atg8a	Atg8a	FBgn0052672	Autophagy-related 8a
Atg2	Atg2	FBgn0044452	Autophagy-related 2
Marf	Marf	FBgn0029870	Mitochondrial assembly regulatory factor
Porin2	Porin2	FBgn0069354	Porin2
DnaJ-1	DnaJ-1	FBgn0263106	DnaJ-like-1
Hsp70Bb	Hsp70Bb	FBgn0013278	Heat-shock-protein-70Bb
atf6	Atf6	FBgn0033010	Atf6
HDAC4	HDAC4	FBgn0041210	Histone deacetylase 4
CG7130	CG7130	FBgn0037151	
Hsc70Cb	Hsc70Cb	FBgn0026418	Hsc70Cb
CG9302	CG9302	FBgn0032514	
crl	Ubc7	FBgn0267384	Ubiquitin conjugating enzyme 7
Hsp60C	Hsp60C	FBgn0031728	Heat shock protein 60C
