initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
ATG4B	ATG4B	ENSGALG00010024918	autophagy related 4B cysteine peptidase [Source:NCBI gene (formerly Entrezgene);Acc:404750]
PSMC1	PSMC1	ENSGALG00010017610	proteasome 26S subunit, ATPase 1 [Source:NCBI gene (formerly Entrezgene);Acc:395804]
PSMD5	PSMD5	ENSGALG00010027522	proteasome 26S subunit, non-ATPase 5 [Source:NCBI gene (formerly Entrezgene);Acc:417125]
SHFM1	SHFM1	ENSGALG00010002817	split hand/foot malformation (ectrodactyly) type 1 [Source:NCBI gene (formerly Entrezgene);Acc:772237]
BAG3	BAG3	ENSGALG00010002371	BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939]
ERN2	ERN2	ENSGALG00010017120	endoplasmic reticulum to nucleus signaling 2 [Source:NCBI gene (formerly Entrezgene);Acc:771230]
PDILT	PDILT	ENSGALG00010016406	protein disulfide isomerase like, testis expressed [Source:HGNC Symbol;Acc:HGNC:27338]
GABARAPL2	GABARAPL2	ENSGALG00010008905	GABA type A receptor associated protein like 2 [Source:HGNC Symbol;Acc:HGNC:13291]
PSMC3	PSMC3	ENSGALG00010022256	proteasome 26S subunit, ATPase 3 [Source:NCBI gene (formerly Entrezgene);Acc:423182]
PSME1	PSME1	ENSGALG00010003804	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]
AMBRA1	AMBRA1	ENSGALG00010023866	autophagy and beclin 1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:25990]
ISCU	ISCU	ENSGALG00010022525	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]
ERLEC1	ERLEC1	ENSGALG00010016967	endoplasmic reticulum lectin 1 [Source:HGNC Symbol;Acc:HGNC:25222]
BAG1	BAG1	ENSGALG00010008057	BCL2 associated athano 1 [Source:NCBI gene (formerly Entrezgene);Acc:420967]
