initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
ATG4B	ATG4B	ENSG00000168397	autophagy related 4B cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:20790]
PSMC1	PSMC1	ENSG00000100764	proteasome 26S subunit, ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9547]
PSMD5	PSMD5	ENSG00000095261	proteasome 26S subunit, non-ATPase 5 [Source:HGNC Symbol;Acc:HGNC:9563]
BAG3	BAG3	ENSG00000151929	BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939]
ERN2	ERN2	ENSG00000134398	endoplasmic reticulum to nucleus signaling 2 [Source:HGNC Symbol;Acc:HGNC:16942]
PDILT	PDILT	ENSG00000169340	protein disulfide isomerase like, testis expressed [Source:HGNC Symbol;Acc:HGNC:27338]
GABARAPL2	GABARAPL2	ENSG00000034713	GABA type A receptor associated protein like 2 [Source:HGNC Symbol;Acc:HGNC:13291]
PSMC3	PSMC3	ENSG00000165916	proteasome 26S subunit, ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9549]
PSME1	PSME1	ENSG00000284916 ENSG00000092010	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]
UBC	UBC	ENSG00000150991	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]
AMBRA1	AMBRA1	ENSG00000110497	autophagy and beclin 1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:25990]
HSPA1L	HSPA1L	ENSG00000234258 ENSG00000204390 ENSG00000206383 ENSG00000226704 ENSG00000236251	heat shock protein family A (Hsp70) member 1 like [Source:HGNC Symbol;Acc:HGNC:5234]
ISCU	ISCU	ENSG00000136003	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]
ERLEC1	ERLEC1	ENSG00000068912	endoplasmic reticulum lectin 1 [Source:HGNC Symbol;Acc:HGNC:25222]
BAG1	BAG1	ENSG00000107262	BAG cochaperone 1 [Source:HGNC Symbol;Acc:HGNC:937]
CANX	CANX	ENSG00000127022 ENSG00000283777	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]
PDIA3	PDIA3	ENSG00000167004	protein disulfide isomerase family A member 3 [Source:HGNC Symbol;Acc:HGNC:4606]
HERPUD2	HERPUD2	ENSG00000122557	HERPUD family member 2 [Source:HGNC Symbol;Acc:HGNC:21915]
HSPA6	HSPA6	ENSG00000173110	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]
ATF4	ATF4	ENSG00000128272	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]
PSMD11	PSMD11	ENSG00000108671	proteasome 26S subunit, non-ATPase 11 [Source:HGNC Symbol;Acc:HGNC:9556]
HDAC8	HDAC8	ENSG00000147099	histone deacetylase 8 [Source:HGNC Symbol;Acc:HGNC:13315]
ATG9A	ATG9A	ENSG00000198925	autophagy related 9A [Source:HGNC Symbol;Acc:HGNC:22408]
DNAJA3	DNAJA3	ENSG00000103423 ENSG00000276726	DnaJ heat shock protein family (Hsp40) member A3 [Source:HGNC Symbol;Acc:HGNC:11808]
POMP	POMP	ENSG00000132963	proteasome maturation protein [Source:HGNC Symbol;Acc:HGNC:20330]
DRAM1	DRAM1	ENSG00000136048	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]
DNAJB9	DNAJB9	ENSG00000128590	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]
DNM1L	DNM1L	ENSG00000087470	dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973]
HSPA1A	HSPA1A	ENSG00000215328 ENSG00000237724 ENSG00000235941 ENSG00000204389 ENSG00000234475	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]
P4HB	P4HB	ENSG00000185624	prolyl 4-hydroxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8548]
HSP90B1	HSP90B1	ENSG00000166598	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]
BAG5	BAG5	ENSG00000166170	BAG cochaperone 5 [Source:HGNC Symbol;Acc:HGNC:941]
WFS1	WFS1	ENSG00000109501	wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762]
TCP1	TCP1	ENSG00000120438	t-complex 1 [Source:HGNC Symbol;Acc:HGNC:11655]
HERPUD1	HERPUD1	ENSG00000051108	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]
MAP1LC3A	MAP1LC3A	ENSG00000101460	microtubule associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838]
NFE2L2	NFE2L2	ENSG00000116044	NFE2 like bZIP transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:7782]
HSP90AB1	HSP90AB1	ENSG00000096384	heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258]
DNAJC7	DNAJC7	ENSG00000168259	DnaJ heat shock protein family (Hsp40) member C7 [Source:HGNC Symbol;Acc:HGNC:12392]
HSF2	HSF2	ENSG00000025156	heat shock transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:5225]
DNAJA1	DNAJA1	ENSG00000086061	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]
CCT4	CCT4	ENSG00000115484	chaperonin containing TCP1 subunit 4 [Source:HGNC Symbol;Acc:HGNC:1617]
MAP1LC3C	MAP1LC3C	ENSG00000197769	microtubule associated protein 1 light chain 3 gamma [Source:HGNC Symbol;Acc:HGNC:13353]
HSCB	HSCB	ENSG00000100209	HscB mitochondrial iron-sulfur cluster cochaperone [Source:HGNC Symbol;Acc:HGNC:28913]
PSME2	PSME2	ENSG00000100911 ENSG00000284889	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]
HSPB3	HSPB3	ENSG00000169271	heat shock protein family B (small) member 3 [Source:HGNC Symbol;Acc:HGNC:5248]
UFD1	UFD1	ENSG00000070010	ubiquitin recognition factor in ER associated degradation 1 [Source:HGNC Symbol;Acc:HGNC:12520]
NGLY1	NGLY1	ENSG00000151092	N-glycanase 1 [Source:HGNC Symbol;Acc:HGNC:17646]
VHL	VHL	ENSG00000134086	von Hippel-Lindau tumor suppressor [Source:HGNC Symbol;Acc:HGNC:12687]
PDIA4	PDIA4	ENSG00000155660	protein disulfide isomerase family A member 4 [Source:HGNC Symbol;Acc:HGNC:30167]
ATG4C	ATG4C	ENSG00000125703	autophagy related 4C cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16040]
HSPA9	HSPA9	ENSG00000113013	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]
SEM1	SEM1	ENSG00000127922	SEM1 26S proteasome subunit [Source:HGNC Symbol;Acc:HGNC:10845]
GANAB	GANAB	ENSG00000089597	glucosidase II alpha subunit [Source:HGNC Symbol;Acc:HGNC:4138]
UBE2D1	UBE2D1	ENSG00000072401	ubiquitin conjugating enzyme E2 D1 [Source:HGNC Symbol;Acc:HGNC:12474]
ATG10	ATG10	ENSG00000152348	autophagy related 10 [Source:HGNC Symbol;Acc:HGNC:20315]
VDAC3	VDAC3	ENSG00000078668	voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674]
PSMB5	PSMB5	ENSG00000100804	proteasome 20S subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:9542]
NPLOC4	NPLOC4	ENSG00000182446	NPL4 homolog, ubiquitin recognition factor [Source:HGNC Symbol;Acc:HGNC:18261]
UBE3C	UBE3C	ENSG00000009335	ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]
PPIB	PPIB	ENSG00000166794	peptidylprolyl isomerase B [Source:HGNC Symbol;Acc:HGNC:9255]
OS9	OS9	ENSG00000135506	OS9 endoplasmic reticulum lectin [Source:HGNC Symbol;Acc:HGNC:16994]
PSMD12	PSMD12	ENSG00000197170	proteasome 26S subunit, non-ATPase 12 [Source:HGNC Symbol;Acc:HGNC:9557]
MAP1LC3B	MAP1LC3B	ENSG00000140941	microtubule associated protein 1 light chain 3 beta [Source:HGNC Symbol;Acc:HGNC:13352]
UCP2	UCP2	ENSG00000175567	uncoupling protein 2 [Source:HGNC Symbol;Acc:HGNC:12518]
DERL2	DERL2	ENSG00000072849	derlin 2 [Source:HGNC Symbol;Acc:HGNC:17943]
HSP90AA1	HSP90AA1	ENSG00000080824	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]
ST13	ST13	ENSG00000100380	ST13 Hsp70 interacting protein [Source:HGNC Symbol;Acc:HGNC:11343]
EIF2AK3	EIF2AK3	ENSG00000172071	eukaryotic translation initiation factor 2 alpha kinase 3 [Source:HGNC Symbol;Acc:HGNC:3255]
FKBP6	FKBP6	ENSG00000077800	FKBP prolyl isomerase family member 6 (inactive) [Source:HGNC Symbol;Acc:HGNC:3722]
PRKN	PRKN	ENSG00000185345	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]
BAG4	BAG4	ENSG00000156735	BAG cochaperone 4 [Source:HGNC Symbol;Acc:HGNC:940]
FKBP2	FKBP2	ENSG00000173486	FKBP prolyl isomerase 2 [Source:HGNC Symbol;Acc:HGNC:3718]
UGGT2	UGGT2	ENSG00000102595	UDP-glucose glycoprotein glucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15664]
PSMC6	PSMC6	ENSG00000100519	proteasome 26S subunit, ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9553]
UCP3	UCP3	ENSG00000175564	uncoupling protein 3 [Source:HGNC Symbol;Acc:HGNC:12519]
PSMB7	PSMB7	ENSG00000136930	proteasome 20S subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:9544]
ATG4D	ATG4D	ENSG00000130734	autophagy related 4D cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:20789]
ERO1B	ERO1B	ENSG00000086619	endoplasmic reticulum oxidoreductase 1 beta [Source:HGNC Symbol;Acc:HGNC:14355]
PSMD8	PSMD8	ENSG00000099341	proteasome 26S subunit, non-ATPase 8 [Source:HGNC Symbol;Acc:HGNC:9566]
UBE3A	UBE3A	ENSG00000114062	ubiquitin protein ligase E3A [Source:HGNC Symbol;Acc:HGNC:12496]
EDEM2	EDEM2	ENSG00000088298	ER degradation enhancing alpha-mannosidase like protein 2 [Source:HGNC Symbol;Acc:HGNC:15877]
SEL1L	SEL1L	ENSG00000071537	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:10717]
ATG5	ATG5	ENSG00000057663	autophagy related 5 [Source:HGNC Symbol;Acc:HGNC:589]
UCP1	UCP1	ENSG00000109424	uncoupling protein 1 [Source:HGNC Symbol;Acc:HGNC:12517]
WIPI1	WIPI1	ENSG00000070540	WD repeat domain, phosphoinositide interacting 1 [Source:HGNC Symbol;Acc:HGNC:25471]
PSMA4	PSMA4	ENSG00000041357	proteasome 20S subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:9533]
HDAC4	HDAC4	ENSG00000068024	histone deacetylase 4 [Source:HGNC Symbol;Acc:HGNC:14063]
PDIA2	PDIA2	ENSG00000185615	protein disulfide isomerase family A member 2 [Source:HGNC Symbol;Acc:HGNC:14180]
HSPA4	HSPA4	ENSG00000170606	heat shock protein family A (Hsp70) member 4 [Source:HGNC Symbol;Acc:HGNC:5237]
DERL1	DERL1	ENSG00000136986	derlin 1 [Source:HGNC Symbol;Acc:HGNC:28454]
PSMA3	PSMA3	ENSG00000100567	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]
HSPA8	HSPA8	ENSG00000109971	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]
ATG2B	ATG2B	ENSG00000066739	autophagy related 2B [Source:HGNC Symbol;Acc:HGNC:20187]
CCT2	CCT2	ENSG00000166226	chaperonin containing TCP1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:1615]
SYVN1	SYVN1	ENSG00000162298	synoviolin 1 [Source:HGNC Symbol;Acc:HGNC:20738]
BAG2	BAG2	ENSG00000112208	BAG cochaperone 2 [Source:HGNC Symbol;Acc:HGNC:938]
PSMA2	PSMA2	ENSG00000106588	proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]
PSMB10	PSMB10	ENSG00000205220	proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]
ATG16L1	ATG16L1	ENSG00000281089 ENSG00000085978	autophagy related 16 like 1 [Source:HGNC Symbol;Acc:HGNC:21498]
ATG3	ATG3	ENSG00000144848	autophagy related 3 [Source:HGNC Symbol;Acc:HGNC:20962]
DRAM2	DRAM2	ENSG00000156171	DNA damage regulated autophagy modulator 2 [Source:HGNC Symbol;Acc:HGNC:28769]
CCT3	CCT3	ENSG00000163468	chaperonin containing TCP1 subunit 3 [Source:HGNC Symbol;Acc:HGNC:1616]
PSMD4	PSMD4	ENSG00000159352	proteasome 26S subunit ubiquitin receptor, non-ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9561]
PSMA6	PSMA6	ENSG00000100902	proteasome 20S subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:9535]
VDAC1	VDAC1	ENSG00000213585	voltage dependent anion channel 1 [Source:HGNC Symbol;Acc:HGNC:12669]
PSMD10	PSMD10	ENSG00000101843	proteasome 26S subunit, non-ATPase 10 [Source:HGNC Symbol;Acc:HGNC:9555]
RUVBL2	RUVBL2	ENSG00000183207	RuvB like AAA ATPase 2 [Source:HGNC Symbol;Acc:HGNC:10475]
UBE2D3	UBE2D3	ENSG00000109332	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]
STUB1	STUB1	ENSG00000103266	STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427]
PSMD2	PSMD2	ENSG00000175166	proteasome 26S subunit ubiquitin receptor, non-ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9559]
SNX30	SNX30	ENSG00000148158	sorting nexin family member 30 [Source:HGNC Symbol;Acc:HGNC:23685]
SOD2	SOD2	ENSG00000112096	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]
SEL1L2	SEL1L2	ENSG00000101251	SEL1L2 adaptor subunit of ERAD E3 ligase [Source:HGNC Symbol;Acc:HGNC:15897]
SIGMAR1	SIGMAR1	ENSG00000147955	sigma non-opioid intracellular receptor 1 [Source:HGNC Symbol;Acc:HGNC:8157]
RPN1	RPN1	ENSG00000163902	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]
FKBPL	FKBPL	ENSG00000223666 ENSG00000204315 ENSG00000230907 ENSG00000224200	FKBP prolyl isomerase like [Source:HGNC Symbol;Acc:HGNC:13949]
VDAC2	VDAC2	ENSG00000165637	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]
USP14	USP14	ENSG00000101557	ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]
GABARAP	GABARAP	ENSG00000170296	GABA type A receptor-associated protein [Source:HGNC Symbol;Acc:HGNC:4067]
SNX4	SNX4	ENSG00000114520	sorting nexin 4 [Source:HGNC Symbol;Acc:HGNC:11175]
PPP1R15A	PPP1R15A	ENSG00000087074	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]
MFN1	MFN1	ENSG00000171109	mitofusin 1 [Source:HGNC Symbol;Acc:HGNC:18262]
STT3B	STT3B	ENSG00000163527	STT3 oligosaccharyltransferase complex catalytic subunit B [Source:HGNC Symbol;Acc:HGNC:30611]
HDAC11	HDAC11	ENSG00000163517	histone deacetylase 11 [Source:HGNC Symbol;Acc:HGNC:19086]
SEL1L3	SEL1L3	ENSG00000091490	SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]
DNAJB11	DNAJB11	ENSG00000090520	DnaJ heat shock protein family (Hsp40) member B11 [Source:HGNC Symbol;Acc:HGNC:14889]
AHSA1	AHSA1	ENSG00000100591	activator of HSP90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189]
ATG101	ATG101	ENSG00000123395	autophagy related 101 [Source:HGNC Symbol;Acc:HGNC:25679]
ATG16L2	ATG16L2	ENSG00000168010	autophagy related 16 like 2 [Source:HGNC Symbol;Acc:HGNC:25464]
HSPD1	HSPD1	ENSG00000144381	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]
