initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
uggt2	uggt2	ENSXETG00000006456	UDP-glucose glycoprotein glucosyltransferase 2 [Source:Xenbase;Acc:XB-GENE-997034]
uggt1	uggt1	ENSXETG00000016770	UDP-glucose glycoprotein glucosyltransferase 1 [Source:Xenbase;Acc:XB-GENE-988149]
psmc5	psmc5	ENSXETG00000014234	proteasome 26S subunit, ATPase 5 [Source:Xenbase;Acc:XB-GENE-999928]
ube3c	ube3c	ENSXETG00000021620	ubiquitin protein ligase E3C [Source:Xenbase;Acc:XB-GENE-1011935]
atg7	atg7	ENSXETG00000044332	autophagy related 7 [Source:Xenbase;Acc:XB-GENE-940571]
dnaja3	dnaja3	ENSXETG00000031809	DnaJ heat shock protein family (Hsp40) member A3 [Source:Xenbase;Acc:XB-GENE-5718163]
atg2a	atg2a	ENSXETG00000031818	autophagy related 2A [Source:Xenbase;Acc:XB-GENE-5818802]
fkbp2	fkbp2	ENSXETG00000046144	FKBP prolyl isomerase 2 [Source:Xenbase;Acc:XB-GENE-958376]
ucp2	ucp2	ENSXETG00000026447	uncoupling protein 2 (mitochondrial, proton carrier) [Source:Xenbase;Acc:XB-GENE-1010081]
dnajb1	dnajb1	ENSXETG00000020601	tumor protein p53 [Source:Xenbase;Acc:XB-GENE-484286]
eif2ak4	eif2ak4	ENSXETG00000002204	eukaryotic translation initiation factor 2 alpha kinase 4 [Source:Xenbase;Acc:XB-GENE-967321]
eif2ak3	eif2ak3	ENSXETG00000001926	eukaryotic translation initiation factor 2 alpha kinase 3 [Source:Xenbase;Acc:XB-GENE-989849]
MGC76296	psmc2	ENSXETG00000023127	proteasome 26S subunit, ATPase 2 [Source:Xenbase;Acc:XB-GENE-1000016]
rpn1	rpn1	ENSXETG00000016175	ribophorin I [Source:Xenbase;Acc:XB-GENE-999954]
hscb	hscb	ENSXETG00000026948	HscB mitochondrial iron-sulfur cluster co-chaperone [Source:Xenbase;Acc:XB-GENE-5793329]
stub1	stub1	ENSXETG00000032697	STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase [Source:Xenbase;Acc:XB-GENE-966697]
atg4d	atg4d	ENSXETG00000011644	autophagy related 4D, cysteine peptidase [Source:Xenbase;Acc:XB-GENE-1016717]
c12orf44	atg101	ENSXETG00000036801	autophagy related 101 [Source:Xenbase;Acc:XB-GENE-5873849]
ahsa1	ahsa1	ENSXETG00000011083	AHA1, activator of heat shock 90kDa  1 [Source:Xenbase;Acc:XB-GENE-1006913]
iscu	iscu	ENSXETG00000027428	iron-sulfur cluster assembly enzyme [Source:Xenbase;Acc:XB-GENE-946406]
stt3a	stt3a	ENSXETG00000017775	STT3A, subunit of the oligosaccharyltransferase complex (catalytic) [Source:Xenbase;Acc:XB-GENE-973638]
MGC75584	psmc5	ENSXETG00000014234	proteasome 26S subunit, ATPase 5 [Source:Xenbase;Acc:XB-GENE-999928]
psmd11	psmd11	ENSXETG00000029937	proteasome 26S subunit, non-ATPase 11 [Source:Xenbase;Acc:XB-GENE-922608]
ube2j2	ube2j2	ENSXETG00000036215	ubiquitin conjugating enzyme E2 J2 [Source:Xenbase;Acc:XB-GENE-956512]
hspb1	hspb1	ENSXETG00000008972	heat shock protein family B (small) member 1 [Source:Xenbase;Acc:XB-GENE-480320]
psmg2	psmg2	ENSXETG00000019670	proteasome (prosome, macropain) assembly chaperone 2 [Source:Xenbase;Acc:XB-GENE-1003808]
erp29	erp29	ENSXETG00000004300	endoplasmic reticulum protein 29 [Source:Xenbase;Acc:XB-GENE-6045950]
ruvbl2	ruvbl2	ENSXETG00000025105	RuvB like AAA ATPase 2 [Source:Xenbase;Acc:XB-GENE-483344]
hyou1	hyou1	ENSXETG00000010075	hypoxia up-regulated 1 [Source:Xenbase;Acc:XB-GENE-921821]
eif2s1	eif2s1	ENSXETG00000011221	eukaryotic translation initiation factor 2 subunit alpha [Source:Xenbase;Acc:XB-GENE-989630]
dad1	dad1	ENSXETG00000026483	defender against cell death 1 [Source:Xenbase;Acc:XB-GENE-922821]
ufd1l	ufd1	ENSXETG00000018601	ubiquitin recognition factor in ER associated degradation 1 [Source:Xenbase;Acc:XB-GENE-963687]
pdia6	pdia6	ENSXETG00000003512	protein disulfide isomerase family A member 6 [Source:Xenbase;Acc:XB-GENE-974680]
psmc4	psmc4	ENSXETG00000014266	proteasome 26S subunit, ATPase 4 [Source:Xenbase;Acc:XB-GENE-5855370]
