initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
os9	os9	ENSDARG00000117142 ENSDARG00000020301	OS9 endoplasmic reticulum lectin [Source:ZFIN;Acc:ZDB-GENE-060929-32]
cul1b	cul1b	ENSDARG00000007691	cullin 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2887]
uggt2	uggt2	ENSDARG00000062089	UDP-glucose glycoprotein glucosyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-050517-21]
uggt1	uggt1	ENSDARG00000054746	UDP-glucose glycoprotein glucosyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-061103-619]
psmc5	psmc5	ENSDARG00000015315	proteasome 26S subunit, ATPase 5 [Source:ZFIN;Acc:ZDB-GENE-030131-6547]
ISCU	ISCU	ENSDARG00000035596	si:ch211-191d15.2 [Source:ZFIN;Acc:ZDB-GENE-040724-113]
ube3c	ube3c	ENSDARG00000112229 ENSDARG00000035978	ubiquitin protein ligase E3C [Source:ZFIN;Acc:ZDB-GENE-040426-1211]
atg7	atg7	ENSDARG00000102893	ATG7 autophagy related 7 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-1633]
fkbp4	fkbp4	ENSDARG00000008447	FKBP prolyl isomerase 4 [Source:ZFIN;Acc:ZDB-GENE-030131-514]
psmb9a	psmb9a	ENSDARG00000000656	proteasome 20S subunit beta 9a [Source:ZFIN;Acc:ZDB-GENE-990415-140]
calrl2	calr	ENSDARG00000076290	calreticulin [Source:ZFIN;Acc:ZDB-GENE-030131-4042]
fkbp2	fkbp2	ENSDARG00000044540	FKBP prolyl isomerase 2 [Source:ZFIN;Acc:ZDB-GENE-040912-126]
GANAB	GANAB	ENSDARG00000076888	zgc:171967 [Source:ZFIN;Acc:ZDB-GENE-070928-36]
ucp2	ucp2	ENSDARG00000043154	uncoupling protein 2 [Source:NCBI gene;Acc:555812]
psma8	psma8	ENSDARG00000010965	proteasome 20S subunit alpha 8 [Source:ZFIN;Acc:ZDB-GENE-040426-2194]
eif2ak3	eif2ak3	ENSDARG00000062139	eukaryotic translation initiation factor 2-alpha kinase 3 [Source:ZFIN;Acc:ZDB-GENE-050414-2]
rpn1	rpn1	ENSDARG00000059323	ribophorin I [Source:ZFIN;Acc:ZDB-GENE-030131-4286]
mcm5	mcm5	ENSDARG00000019507	minichromosome maintenance complex component 5 [Source:ZFIN;Acc:ZDB-GENE-021209-1]
stub1	stub1	ENSDARG00000045228	STIP1 homology and U-Box containing protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2963]
xbp1	xbp1	ENSDARG00000035622	X-box binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-011210-2]
ulk1a	ulk1a	ENSDARG00000062518	unc-51 like autophagy activating kinase 1a [Source:ZFIN;Acc:ZDB-GENE-080723-31]
ahsa1	ahsa1a	ENSDARG00000028664	AHA1, activator of heat shock protein ATPase homolog 1a [Source:ZFIN;Acc:ZDB-GENE-030131-1869]
mfn1b	mfn1b	ENSDARG00000079219	mitofusin 1b [Source:ZFIN;Acc:ZDB-GENE-040426-1553]
ucp3	ucp3	ENSDARG00000091209	uncoupling protein 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1317]
eif2s1b	eif2s1b	ENSDARG00000052178	eukaryotic translation initiation factor 2, subunit 1 alpha b [Source:ZFIN;Acc:ZDB-GENE-030131-283]
psmc1b	psmc1b	ENSDARG00000043561	proteasome 26S subunit, ATPase 1b [Source:ZFIN;Acc:ZDB-GENE-040625-69]
ube2j2	ube2j2	ENSDARG00000061161	ubiquitin-conjugating enzyme E2, J2 (UBC6 homolog, yeast) [Source:ZFIN;Acc:ZDB-GENE-070410-28]
hspb1	hspb1	ENSDARG00000041065	heat shock protein, alpha-crystallin-related, 1 [Source:NCBI gene;Acc:368243]
dram2a	dram2a	ENSDARG00000043569	DNA-damage regulated autophagy modulator 2a [Source:ZFIN;Acc:ZDB-GENE-081104-360]
psmg2	psmg2	ENSDARG00000035987	proteasome (prosome, macropain) assembly chaperone 2 [Source:NCBI gene;Acc:573107]
ruvbl2	ruvbl2	ENSDARG00000115705 ENSDARG00000055639	RuvB-like AAA ATPase 2 [Source:NCBI gene;Acc:317678]
si:ch211-207k7.4	si:ch211-207k7.4	ENSDARG00000115358 ENSDARG00000075416	si:ch211-207k7.4 [Source:NCBI gene;Acc:100150029]
psmd4b	psmd4b	ENSDARG00000023279	proteasome 26S subunit, non-ATPase 4b [Source:ZFIN;Acc:ZDB-GENE-050417-96]
hyou1	hyou1	ENSDARG00000013670	hypoxia up-regulated 1 [Source:NCBI gene;Acc:327133]
psmc1a	psmc1a	ENSDARG00000112404 ENSDARG00000030537	proteasome 26S subunit, ATPase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-8730]
dad1	dad1	ENSDARG00000102105	defender against cell death 1 [Source:ZFIN;Acc:ZDB-GENE-060503-233]
apg3l	atg3	ENSDARG00000009350	autophagy related 3 [Source:NCBI gene;Acc:336632]
ufd1l	ufd1l	ENSDARG00000010051	ubiquitin recognition factor in ER associated degradation 1 [Source:ZFIN;Acc:ZDB-GENE-040718-150]
dnajb1a	dnajb1a	ENSDARG00000099383	DnaJ heat shock protein family (Hsp40) member B1a [Source:ZFIN;Acc:ZDB-GENE-040801-90]
wfs1a	wfs1a	ENSDARG00000062341	Wolfram syndrome 1a (wolframin) [Source:ZFIN;Acc:ZDB-GENE-080225-11]
ATG14	ATG14	ENSDARG00000002670	zgc:113944 [Source:ZFIN;Acc:ZDB-GENE-050913-155]
psmc4	psmc4	ENSDARG00000027099 ENSDARG00000109415	proteasome 26S subunit, ATPase 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5083]
cct4	cct4	ENSDARG00000013475	chaperonin containing TCP1, subunit 4 (delta) [Source:ZFIN;Acc:ZDB-GENE-040426-1421]
txndc11	txndc11	ENSDARG00000101291	thioredoxin domain containing 11 [Source:ZFIN;Acc:ZDB-GENE-041008-112]
sod1	sod1	ENSDARG00000043848	superoxide dismutase 1, soluble [Source:NCBI gene;Acc:30553]
st13	st13	ENSDARG00000021973	ST13 Hsp70 interacting protein [Source:ZFIN;Acc:ZDB-GENE-030131-5395]
ddit3	ddit3	ENSDARG00000059836	DNA-damage-inducible transcript 3 [Source:ZFIN;Acc:ZDB-GENE-070410-90]
ppid	ppid	ENSDARG00000038835	peptidylprolyl isomerase D [Source:ZFIN;Acc:ZDB-GENE-040625-34]
psmb7	psmb7	ENSDARG00000037962	proteasome 20S subunit beta 7 [Source:ZFIN;Acc:ZDB-GENE-001208-4]
ngly1	ngly1	ENSDARG00000003205	N-glycanase 1 [Source:NCBI gene;Acc:553627]
psmc2	psmc2	ENSDARG00000020101	proteasome 26S subunit, ATPase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1327]
ube2g2	ube2g2	ENSDARG00000025404	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast) [Source:ZFIN;Acc:ZDB-GENE-050417-288]
psmd8	psmd8	ENSDARG00000020454	proteasome 26S subunit, non-ATPase 8 [Source:ZFIN;Acc:ZDB-GENE-040625-136]
bag3	bag3	ENSDARG00000039486	BCL2 associated athanogene 3 [Source:ZFIN;Acc:ZDB-GENE-040801-40]
atg12	atg12	ENSDARG00000069545 ENSDARG00000113990	ATG12 autophagy related 12 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-071205-7]
wipi1	wipi1	ENSDARG00000040657	WD repeat domain, phosphoinositide interacting 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1404]
iscub	iscub	ENSDARG00000115112 ENSDARG00000026582	iron-sulfur cluster assembly enzyme b [Source:ZFIN;Acc:ZDB-GENE-050417-332]
psmg3	psmg3	ENSDARG00000098391	proteasome (prosome, macropain) assembly chaperone 3 [Source:ZFIN;Acc:ZDB-GENE-040718-262]
bag1	bag1	ENSDARG00000020895	BCL2 associated athanogene 1 [Source:ZFIN;Acc:ZDB-GENE-050309-89]
